# JULens Korean company-name reference
# Snapshot source: Naver Pay Securities US stock catalog (NASDAQ/NYSE/AMEX), 2026-08-15
# Format: ticker<TAB>display name
BSVN	뱅크7
BSX	보스턴 사이언티픽
BSY	벤틀리 시스템즈
BTAI	바이오X셀 테라퓨틱스
BTBD	BT 브랜즈
BTBT	비트 디지털
BTCS	BTCS
BTCT	BTC 디지털
BTDR	빗디어 테크놀로지스
BTE	배이텍스 에너지
BTG	B2골드
BTGO	비트고 홀딩스
BTMD	바이오티
BTOC	암로지 홀딩
BTOG	비트 오리진
BTQ	BTQ 테크놀로지스
BTSG	브라이트스프링 헬스 서비스
BTTC	블랙 타이탄
BTU	피바디 에너지
BUDA	부다 주스
BULL	위불
BUR	버포트 캐피털
BURL	벌링턴 스토어스
BUSE	퍼스트 뷰지
BUUU	BUUU 그룹
BV	브라이트뷰 홀딩스
BVC	비트벤처스 ADR
BVFL	Bv 파이낸셜
BVS	바이오벤투스
BW	밥콕 앤 윌콕스 엔터프라이스
BWA	보그워너
BWB	브릿지워터 뱅크셰어스
BWEN	브로드윈드 에너지
BWFG	뱅크웰 파이낸셜 그룹
BWIN	볼드윈 인슈어런스 그룹
BWIV	블루 워터 애퀴지션 IV
BWLP	BW LPG
BWMN	보우만 컨설팅 그룹
BWMX	베터웨어 데 멕시코
BWXT	BWX 테크놀로지스
BX	블랙스톤
BXBL	박서블
BXC	블루링스 홀딩스
BXSL	블랙스톤 시큐어드 렌딩 펀드
BY	바이라인 뱅코프
BYAH	파크 하 바이오테크
BYD	보이드 게이밍
BYFC	브로드웨이 파이낸셜
BYND	비욘드 미트
BYRN	버나 테크놀로지스
BYSI	비욘드스프링
BZAI	블레이즈 홀딩스
BZFD	버즈피드
BZH	비저 홈스 USA
C	씨티그룹
CAAP	코퍼래시온 어메리카 에어포츠
CAAS	중국 오토모티브 시스템
CABA	카발레타 바이오
CABO	케이블 원
CABR	케어링 브랜즈
CAC	캠던 내셔널
CACC	크레디트 억셉턴스
CACI	CACI 인터내셔널
CADL	캔델 테라퓨틱스
CAE	CAE
CAES	캔터 에퀴티 파트너스 VII
CAG	콘아그라 브랜즈
CAH	카디널 헬스
CAI	카리스 라이프 사이언시스
CAII	콜렉티브 애퀴지션 II
CAKE	치즈케익 팩토리
CAL	컬레러스
CALC	캘시메디카
CALM	칼 메인 푸즈
CALX	캘릭스
CALY	캘러웨이 골프
CAMP	캠프4 테라퓨틱스
CAMT	캠텍
CANG	캉고
CAPN	케이슨 애퀴지션
CAPR	캐프리코 테라퓨틱스
CAPS	캡스톤 홀딩
CAQ	캠브리지 애퀴지션
CAR	에이비스 버짓 그룹
CARE	카터 뱅크셰어스
CARG	카구루스
CARL	칼스메드
CARR	캐리어 글로벌
CARS	카스닷컴
CART	메이플베어
CASH	패스워드 파이낸셜
CASS	캐스 인포메이션 시스템즈
CAST	프리캐스트
CASY	케이시스 제너럴 스토어스
CAT	캐터필러
CATO	케이토
CATX	퍼스펙티브 테라퓨틱스
CATY	캐세이 제너럴 뱅코프
CAVA	카바 그룹
CB	처브
CBAN	콜로니 뱅코프
CBAT	CBAK 에너지 테크놀러지
CBC	센트럴 밴컴퍼니
CBFV	CB 파이낸셜 서비스
CBIO	크레센트 바이오파마
CBK	커머셜 뱅크그룹
CBLL	세리벨
CBNA	체인 브리지 뱅코프
CBNK	캐피털 뱅코프
CBRE	CBRE 그룹
CBRL	크래커 배럴 올드 컨트리 스토어
CBRS	세레브라스 시스템스
CBSH	커머스 뱅크셰어스
CBT	캐보트
CBU	커뮤니티 파이낸셜 시스템
CBUS	씨버스
CBZ	CBIZ
CC	케무어스
CCAP	크레센트 캐피탈 BDC
CCAQ	콜렉티브 애퀴지션
CCB	코스탈 파이낸셜
